annee,boite,carburant,departement,kilometrage,prix,titre,ville
2013,Automatique,Diesel,89100,169000,19190,MERCEDES CLA CLASSE 220 CDI FASCINATION 7-G DCT A,Sens
2012,Manuelle,Essence,39200,94000,10990,HYUNDAI VELOSTER 1.6 GDI 140 BLACK SPORT PREMIUM,Saint-Claude
2016,Automatique,Diesel,59282,50000,24990,MERCEDES CLASSE CLA 200 D 136CH BVA FASCINATION PACK AMG / TOIT OUVRANT / CUIR / GPS / PARK ASSIST,Douchy-les-Mines
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2019,Automatique,Diesel,66530,67000,29900,MERCEDES CLA CLASSE 220D,Claira
2016,Manuelle,Diesel,89100,117200,18490,MERCEDES CLA CLASSE 200 D SENSATION,Sens
2016,Automatique,Essence,33160,63000,36990,MERCEDES A45 AMG 4-MATIC 381CV SPEEDSHIFT PHASE 2,Saint-Aubin-de-Médoc
2013,Manuelle,Essence,76190,144465,17490,MERCEDES CLASSE CLA 200 FASCINATION / PACK AMG,Sainte-Marie-des-Champs
2017,Automatique,Diesel,34300,59713,25990,MERCEDES CLASSE CLA (C117) 220 D BUSINESS EXECUTIVE 7G-DCT PACK AMG,Agde
2018,Automatique,Diesel,93200,62215,24690,MERCEDES CLA CLASSE SHOOTING BRAKE BUSINESS 200 D 7-G DCT EXECUTIVE EDITION BUSINESS EXECUTIVE ED...,Saint-Denis
2016,Manuelle,Diesel,39200,128,10990,VOLKSWAGEN GOLF 7 1.6 TDI GPS 128000 2017 1°MAIN,Saint-Claude
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2015,Automatique,Essence,93340,70000,34990,MERCEDES CLA CLASSE 45 AMG DCT A SPEEDSHIFT 4MATIC,Le Raincy
2015,Manuelle,Diesel,34130,170000,17500,MERCEDES CLASSE CLA AMG,Mauguio
2014,Manuelle,Diesel,33320,144500,15990,MERCEDES CLA CLASSE 200 CDI SENSATION ENTRETIENOK,Eysines
2014,Automatique,Diesel,63000,68000,18990,MERCEDES C 250 CDI 4 MATIC AMG,Clermont-Ferrand
2015,Manuelle,Essence,31000,25000,21800,MERCEDES BENZ CLASSE CLA 180,Toulouse
2015,Automatique,Essence,54720,96000,30990,MERCEDES CLA CLASSE 45 AMG 4MATIC SPEEDSHIFT DCT A,Lexy
2017,Automatique,Diesel,34000,109500,24900,MERCEDES CLA 220D FASCINATION,Montpellier
2015,Automatique,Diesel,84000,200000,12000,MERCEDES CLASSE A 176 180 CDI GPS CAMERA 12000EUROS,Avignon
2016,Automatique,Diesel,78110,163000,16490,MERCEDES-BENZ CLASSE C BERLINE EXECUTIVE 220 CDI 2.1 7G-TRONIC 170 CV BOITE AUTO CAMERA DE RECUL,Le Vésinet
2017,Automatique,Diesel,86220,74000,25199,CLA SHOOTING BRAKE 200 D FASCINATION AMG,Les Ormes
